,Neighborhood,Price
1184,"St. Elizabeth's, Brighton, Boston","$1,550"
1185,"Downtown Medford, Medford","$5,000"
1186,"Mid-Cambridge, Cambridge","$2,300"
1187,"North End, Boston","$2,600"
1188,"Chinatown - Leather District, Boston","$3,205"
1189,"Financial District, Downtown Boston, Boston","$4,189"
1190,"Financial District, Downtown Boston, Boston","$5,760"
1191,"North Allston, Allston, Boston","$2,520"
1192,"North Allston, Allston, Boston","$2,755"
1193,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,525"
1194,"Powder House, Somerville","$3,900"
1195,"Uphams Corner - Jones Hill, Dorchester, Boston","$2,400"
1196,"Strawberry Hill, Cambridge","$2,208"
1197,"Allston, Boston","$2,150"
1198,"Downtown Boston, Boston","$3,679"
1199,"Mid-Cambridge, Cambridge","$2,050"
1200,"Lower Washington - Mount Hope, Roslindale, Boston","$1,800"
1201,"North Allston, Allston, Boston","$3,950"
1202,"North Allston, Allston, Boston","$2,560"
1203,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,067"
1204,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800"
1205,"Chinatown - Leather District, Boston","$2,950"
1206,"Chinatown - Leather District, Boston","$1,975"
1207,"Chinatown - Leather District, Boston","$1,950"
1208,"Brookline Village, Brookline","$3,400"
1209,"Allston, Boston","$3,250"
1210,"St. Elizabeth's, Brighton, Boston","$3,600"
1211,"Oak Square, Brighton, Boston","$2,350"
1212,"Wellington - Harrington, Cambridge","$3,950"
1213,"West Revere, Malden","$1,910"
1214,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,700"
1215,"North End, Boston","$2,300"
1216,"Allston, Boston","$2,550"
1217,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,951"
1218,"Wollaston, Quincy","$1,650"
1219,"North End, Boston","$2,710"
1220,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,884"
1221,"Lower Roxbury, Roxbury, Boston","$3,300"
1222,"Downtown Boston, Boston","$2,750"
1223,"West End, Boston","$3,800"
1224,"Wollaston, Quincy","$1,900"
1225,"Mission Hill, Boston","$3,725"
1226,"Mission Hill, Boston","$2,240"
1227,"Coolidge Corner, Boston","$3,100"
1228,"Commonwealth, Brighton, Boston","$1,550"
1229,"Commonwealth, Brighton, Boston","$1,575"
1230,"Commonwealth, Brighton, Boston","$1,750"
1231,"Commonwealth, Brighton, Boston","$1,750"
1232,"Commonwealth, Brighton, Boston","$1,800"
1233,"Commonwealth, Brighton, Boston","$2,050"
1234,"Coolidge Corner, Boston","$2,350"
1235,"Coolidge Corner, Boston","$3,500"
1236,"Harrison Lenox, South End, Boston","$4,500"
1237,"St. Elizabeth's, Brighton, Boston","$4,300"
1238,Dracut,"$1,000"
1239,"Downtown Boston, Boston","$2,824"
1240,"Downtown Boston, Boston","$3,774"
1241,"Downtown Boston, Boston","$4,495"
1242,"Downtown Boston, Boston","$4,595"
1243,"Downtown Boston, Boston","$4,845"
1244,"Downtown Boston, Boston","$6,025"
1245,"North End, Boston","$3,200"
1246,"Montclair, Quincy","$2,404"
1247,"Prudential - St. Botolph, Back Bay, Boston","$3,680"
1248,"Allston, Boston","$2,500"
1249,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,150"
1250,"Bay Village, Boston","$2,795"
1251,"Colonial Heights, Lawrence","$1,869"
1252,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,370"
1253,"Winchester Highlands, Stoneham","$2,620"
1254,"Downtown Melrose, Melrose","$2,000"
1255,"Nonantum, Newton","$2,100"
1256,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,800"
1257,"Chinatown - Leather District, Boston","$4,425"
1258,"West End, Boston","$2,565"
1259,"West End, Boston","$2,915"
1260,"Chinatown - Leather District, Boston","$6,055"
1261,"Downtown Boston, Boston","$2,405"
1262,"Downtown Boston, Boston","$2,880"
1263,"North Allston, Allston, Boston","$3,920"
1264,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500"
1265,"Strawberry Hill, Cambridge","$2,900"
1266,"North End, Boston","$2,600"
1267,"Allston, Boston","$2,200"
1268,"Cambridgeport, Cambridge","$3,100"
1269,"Seaport District, D Street - West Broadway, South Boston, Boston","$5,705"
1270,"Chinatown - Leather District, Boston","$1,975"
1271,"Arlington Center, Arlington","$1,675"
1272,"Powder House, Somerville","$3,735"
1273,"St. Elizabeth's, Brighton, Boston","$2,507"
1274,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550"
1275,"East Arlington, Arlington","$2,500"
1276,"West Revere, Malden","$1,710"
1277,"Brookline Village, Brookline","$1,950"
1278,"Allston, Boston","$2,550"
1279,"Allston, Boston","$2,650"
1280,"North End, Boston","$2,600"
1281,"South Medford, Medford","$3,250"
1282,"East Arlington, Arlington","$2,200"
1283,"East Weymouth, Weymouth Town","$1,775"
1284,"Downtown Boston, Boston","$3,500"
1285,"Downtown Medford, Medford","$2,200"
1286,"D Street - West Broadway, South Boston, Boston","$2,462"
1287,"North Cambridge, Cambridge","$3,900"
1288,"North Cambridge, Cambridge","$3,900"
1289,"North End, Boston","$2,815"
1290,"Chinatown - Leather District, Boston","$3,675"
1291,"Lower Roxbury, Roxbury, Boston","$3,300"
1292,"Chinatown - Leather District, Boston","$2,700"
1293,"Belvidere, Lowell","$1,500"
1294,"West End, Boston","$3,385"
1295,"West End, Boston","$3,110"
1296,"Mission Hill, Boston","$3,000"
1297,"Downtown Boston, Boston","$2,874"
1298,"St. Elizabeth's, Brighton, Boston","$3,100"
1299,"St. Elizabeth's, Brighton, Boston","$2,400"
1300,"Newton Corner, Watertown","$2,500"
1301,"Coolidge Corner, Boston","$3,350"
1302,"Commonwealth, Brighton, Boston","$1,525"
1303,"Coolidge Corner, Boston","$2,450"
1304,"Mission Hill, Boston","$2,235"
1305,"Harrison Lenox, South End, Boston","$4,500"
1306,"Commonwealth, Brighton, Boston","$1,475"
1307,"Commonwealth, Brighton, Boston","$1,575"
1308,"Commonwealth, Brighton, Boston","$1,575"
1309,"Commonwealth, Brighton, Boston","$1,900"
1310,"Commonwealth, Brighton, Boston","$1,750"
1311,"Coolidge Corner, Boston","$2,350"
1312,"Coolidge Corner, Boston","$3,100"
1313,"Coolidge Corner, Boston","$3,200"
1314,"Commonwealth, Brighton, Boston","$2,195"
1315,"Downtown Boston, Boston","$2,920"
1316,"Linden, Maplewood, Malden","$1,875"
1317,"North Allston, Allston, Boston","$2,650"
1318,"Allston, Boston","$2,450"
1319,"Franklin Field North, Greater Mattapan, Boston","$1,700"
1320,"East Arlington, Arlington","$1,650"
1321,"Fields Corner West, Dorchester, Boston","$2,850"
1322,"Chinatown - Leather District, Boston","$3,448"
1323,"Waterfront, North End, Boston","$3,695"
1324,"Cambridgeport, Cambridge","$2,875"
1325,"Downtown Boston, Boston","$2,650"
1326,"Commonwealth, Brighton, Boston","$2,000"
1327,"Porter Square, Cambridge","$2,950"
1328,"Shawmut, South End, Boston","$2,200"
1329,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500"
1330,"Prudential - St. Botolph, Back Bay, Boston","$3,065"
1331,"Mid-Cambridge, Cambridge","$2,600"
1332,"Harrison Lenox, South End, Boston","$2,650"
1333,"Allston, Boston","$2,725"
1334,"Peabody Town Center, Peabody","$1,700"
1335,"North Cambridge, Cambridge","$2,968"
1336,"Thompson Square - Bunker Hill, Charlestown, Boston","$2,300"
1337,"Commonwealth, Brighton, Boston","$4,800"
1338,"Newton Corner, Newton","$5,800"
1339,"Hyde Square, Jamaica Plain, Boston","$2,500"
1340,"Downtown Boston, Boston","$4,535"
1341,"Watertown West End, Watertown","$2,025"
1342,"Eagle Hill, East Boston, Boston","$2,050"
1343,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,900"
1344,"Commonwealth, Brighton, Boston","$4,500"
1345,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100"
1346,"Allston, Boston","$2,550"
1347,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,945"
1348,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,456"
1349,"D Street - West Broadway, South Boston, Boston","$3,900"
1350,"Bay Village, Boston","$6,200"
1351,"Lower Washington - Mount Hope, Roslindale, Boston","$1,500"
1352,"North End, Boston","$2,700"
1353,"West Medford, Medford","$3,500"
1354,"Beacon Hill, Boston","$1,750"
1355,"North Cambridge, Cambridge","$3,900"
1356,"North Cambridge, Cambridge","$3,900"
1357,"North End, Boston","$2,785"
1358,"North End, Boston","$2,940"
1359,"North End, Boston","$4,610"
1360,"Chinatown - Leather District, Boston","$3,500"
1361,"Wellington - Harrington, Cambridge","$2,500"
1362,"Thompsonville, Newton","$2,395"
1363,"Chinatown - Leather District, Boston","$4,669"
1364,"Downtown Boston, Boston","$2,699"
1365,"Downtown Boston, Boston","$2,980"
1366,"Highland Park, Roxbury, Boston","$4,500"
1367,"South Medford, Medford","$2,300"
1368,"City Point, South Boston, Boston","$3,700"
1369,"South Salem, Salem",$850
1370,"Bay Village, Boston","$3,400"
1371,"St. Elizabeth's, Brighton, Boston","$5,000"
1372,"Linden, Maplewood, Malden","$1,535"
1373,"Coolidge Corner, Boston","$2,400"
1374,"Coolidge Corner, Boston","$3,200"
1375,"Commonwealth, Brighton, Boston","$1,875"
1376,"Commonwealth, Brighton, Boston","$1,850"
1377,"Commonwealth, Brighton, Boston","$1,850"
1378,"Coolidge Corner, Boston","$3,350"
1379,"Belmont Center, Belmont","$2,500"
1380,"Highlands, Lowell","$1,695"
1381,"Allston, Boston","$2,550"
1382,"Neighborhood Nine, Cambridge","$3,400"
1383,"Back Bay West, Back Bay, Boston","$4,475"
1384,"Washington Park, Roxbury, Boston","$1,975"
1385,"Area IV, Cambridge","$2,600"
1386,"Fields Corner West, Dorchester, Boston","$2,500"
1387,"Downtown Boston, Boston","$3,845"
1388,"Seaport District, D Street - West Broadway, South Boston, Boston","$5,626"
1389,"Chinatown - Leather District, Boston","$3,545"
1390,"Oak Square, Brighton, Boston","$2,900"
1391,"Winchester Town Center, Winchester","$4,500"
1392,"South Quincy, Quincy","$2,350"
1393,"Downtown Boston, Boston","$4,720"
1394,"Financial District, Downtown Boston, Boston","$3,027"
1395,"Chinatown - Leather District, Boston","$4,660"
1396,"Financial District, Downtown Boston, Boston","$5,419"
1397,"North Allston, Allston, Boston","$4,130"
1398,"Downtown Boston, Boston","$3,375"
1399,"North Allston, Allston, Boston","$2,685"
1400,"Allston, Boston","$5,000"
1401,"Commonwealth, Brighton, Boston","$1,875"
1402,"Central Maverick Square - Paris Street, East Boston, Boston","$2,909"
1403,"Pinehurst, Billerica","$2,500"
1404,"Newton Highlands, Newton","$2,300"
1405,"East Cambridge, Cambridge","$4,295"
1406,"Beacon Hill, Boston","$3,000"
1407,"Allston, Boston","$2,450"
1408,"Mission Hill, Boston","$3,500"
1409,"East Cambridge, Cambridge","$3,300"
1410,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,150"
1411,"West End, Boston","$2,410"
1412,"South Salem, Salem","$2,000"
1413,"St. Elizabeth's, Brighton, Boston","$3,600"
1414,"Chinatown - Leather District, Boston","$2,600"
1415,"Mission Hill, Boston","$4,800"
1416,"Downtown Boston, Boston","$6,170"
1417,"Mission Hill, Boston","$3,400"
1418,"Lower Roxbury, Roxbury, Boston","$3,000"
1419,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850"
1420,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,915"
1421,"North Allston, Allston, Boston","$3,365"
1422,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,606"
1423,"Allston, Boston","$4,000"
1424,"Allston, Boston","$3,900"
1425,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,728"
1426,"South Weymouth, Weymouth Town","$1,353"
1427,"South Weymouth, Weymouth Town","$1,628"
1428,"Chinatown - Leather District, Boston","$3,250"
1429,"North End, Boston","$2,200"
1430,"Oak Square, Brighton, Boston","$3,750"
1431,"Downtown Boston, Boston","$4,195"
1432,"Downtown Boston, Boston","$3,100"
1433,"Downtown Boston, Boston","$5,325"
1434,"East Lexington, Lexington","$4,200"
1435,"Harbor View - Orient Heights, East Boston, Boston","$2,560"
1436,"Watertown West End, Watertown","$2,300"
1437,"Columbus, South End, Boston","$3,000"
1438,"Downtown Boston, Boston","$3,800"
1439,"Wellington, Medford","$2,960"
1440,"Brookline Village, Brookline","$4,500"
1441,"Commonwealth, Brighton, Boston","$3,600"
1442,"Coolidge Corner, Boston","$3,250"
1443,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,951"
1444,"Downtown Boston, Boston","$3,000"
1445,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,200"
1446,"Highlands, Lowell","$1,375"
1447,"Commonwealth, Brighton, Boston","$1,550"
1448,"Commonwealth, Brighton, Boston","$1,825"
1449,"Lower Roxbury, Roxbury, Boston","$3,500"
1450,"Chinatown - Leather District, Boston","$5,138"
1451,"Egleston Square, Jamaica Plain, Boston","$2,200"
1452,"Downtown Boston, Boston","$3,360"
1453,"Allston, Boston","$2,550"
1454,"Kendall Square, Cambridge","$4,620"
1455,"Inman Square, Cambridge","$4,300"
1456,"Back Bay East, Back Bay, Boston","$9,800"
1457,"Back Bay East, Back Bay, Boston","$4,000"
1458,"East Arlington, Arlington","$2,350"
1459,"Chinatown - Leather District, Boston","$6,580"
1460,"St. Elizabeth's, Brighton, Boston","$1,795"
1461,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,516"
1462,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,675"
1463,"Mid-Cambridge, Cambridge","$2,700"
1464,"West End, Boston","$2,810"
1465,"Downtown Boston, Boston","$2,405"
1466,"West End, Boston","$2,565"
1467,"Downtown Boston, Boston","$2,725"
1468,"Downtown Boston, Boston","$14,500"
1469,"Downtown Boston, Boston","$3,400"
1470,"Commonwealth, Brighton, Boston","$1,875"
1471,"Central Maverick Square - Paris Street, East Boston, Boston","$2,450"
1472,"Allston, Boston","$4,100"
1473,"Coolidge Corner, Boston","$2,395"
1474,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600"
1475,"East Cambridge, Cambridge","$4,957"
1476,"Strawberry Hill, Cambridge","$2,521"
1477,"Harrison Lenox, South End, Boston","$3,500"
1478,"South Salem, Salem","$3,120"
1479,"Downtown Boston, Boston","$3,900"
1480,"Allston, Boston","$2,100"
1481,"North Allston, Allston, Boston","$2,380"
1482,"Chinatown - Leather District, Boston","$2,025"
1483,"Chinatown - Leather District, Boston","$1,950"
1484,"Brookline Village, Brookline","$2,700"
1485,"Highlands, Lowell","$1,325"
1486,"Allston, Boston","$3,800"
1487,"Brookline Village, Brookline","$3,200"
1488,"North Cambridge, Cambridge","$2,977"
1489,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,855"
1490,"Strawberry Hill, Cambridge","$2,296"
1491,"Hyde Square, Jamaica Plain, Boston","$2,850"
1492,"Mission Hill, Boston","$3,800"
1493,"Mystic River, Somerville","$2,268"
1494,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,100"
1495,"Back Bay West, Back Bay, Boston","$8,500"
1496,"Brookline Village, Brookline","$2,300"
1497,"Mission Hill, Boston","$3,130"
1498,"Melrose East Side, Melrose","$2,100"
1499,"North End, Boston","$2,650"
1500,"Waverley Square, Watertown","$2,900"
1501,"Lower Roxbury, Roxbury, Boston","$4,250"
1502,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,450"
1503,"North Cambridge, Cambridge","$2,200"
1504,"North End, Boston","$2,400"
1505,"North End, Boston","$2,450"
1506,"Telegraph Hill, South Boston, Boston","$4,600"
1507,"Strawberry Hill, Cambridge","$3,200"
1508,"North End, Boston","$3,070"
1509,"North End, Boston","$3,300"
1510,"Downtown Boston, Boston","$3,950"
1511,"Downtown Boston, Boston","$5,245"
1512,"Downtown Boston, Boston","$4,139"
1513,"Downtown Boston, Boston","$2,900"
1514,"Downtown Boston, Boston","$3,400"
1515,"Downtown Boston, Boston","$3,149"
1516,"Downtown Boston, Boston","$4,225"
1517,"Downtown Boston, Boston","$5,125"
1518,"Downtown Boston, Boston","$5,525"
1519,"North End, Boston","$2,300"
1520,"D Street - West Broadway, South Boston, Boston","$3,659"
1521,"Admirals Hill, Chelsea","$1,805"
1522,"Mission Hill, Boston","$2,500"
1523,"Mission Hill, Boston","$3,250"
1524,"East Somerville, Boston","$2,600"
1525,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,600"
1526,"Shawmut, South End, Boston","$6,900"
1527,"Commonwealth, Brighton, Boston","$4,500"
1528,"Winchester Town Center, Winchester","$3,800"
1529,"Coolidge Corner, Boston","$3,400"
1530,"Commonwealth, Brighton, Boston","$1,650"
1531,"Commonwealth, Brighton, Boston","$1,475"
1532,"St. Elizabeth's, Brighton, Boston","$2,700"
1533,"St. Elizabeth's, Brighton, Boston","$2,200"
1534,"Coolidge Corner, Boston","$2,300"
1535,"Commonwealth, Brighton, Boston","$1,650"
1536,"Commonwealth, Brighton, Boston","$1,800"
1537,"Coolidge Corner, Boston","$3,050"
1538,"Central Maverick Square - Paris Street, East Boston, Boston","$1,750"
1539,"Central Maverick Square - Paris Street, East Boston, Boston","$2,400"
1540,"Area IV, Cambridge","$2,300"
1541,"Columbus Park - Andrew Square, South Boston, Boston","$3,000"
1542,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,976"
1543,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,187"
1544,"Chinatown - Leather District, Boston","$3,455"
1545,"Chinatown - Leather District, Boston","$3,860"
1546,"Mission Hill, Boston","$3,900"
1547,"North Allston, Allston, Boston","$2,465"
1548,"North Allston, Allston, Boston","$3,145"
1549,"North Allston, Allston, Boston","$3,845"
1550,"Chinatown - Leather District, Boston","$3,075"
1551,"Downtown Boston, Boston","$3,740"
1552,"Harrison Lenox, South End, Boston","$3,350"
1553,"Strawberry Hill, Cambridge","$2,208"
1554,"Allston, Boston","$2,965"
1555,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$3,100"
1556,"North Waltham, Lexington","$2,330"
1557,"North End, Boston","$4,660"
1558,"Mystic River, Somerville","$3,615"
1559,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,358"
1560,"Downtown Boston, Boston","$3,985"
1561,"Allston, Boston","$4,500"
1562,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$3,390"
1563,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$4,650"
1564,"Back Bay West, Back Bay, Boston","$1,695"
1565,"Mission Hill, Boston","$2,500"
1566,"North End, Boston","$3,000"
1567,"Shawmut, South End, Boston","$3,617"
1568,"North End, Boston","$3,540"
1569,"St. Elizabeth's, Brighton, Boston","$2,995"
1570,"North Allston, Allston, Boston","$4,205"
1571,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550"
1572,"Harbor View - Orient Heights, East Boston, Boston","$2,400"
1573,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850"
1574,"West Somerville, Somerville","$2,700"
1575,"South Weymouth, Weymouth Town","$1,900"
1576,"Hyde Square, Jamaica Plain, Boston","$2,850"
1577,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000"
1578,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,500"
1579,Wakefield,"$2,700"
1580,"West End, Boston","$2,595"
1581,"Chinatown - Leather District, Boston","$3,450"
1582,"Chinatown - Leather District, Boston","$2,500"
1583,"Chinatown - Leather District, Boston","$2,450"
1584,"Chinatown - Leather District, Boston","$3,550"
1585,"Lower Roxbury, Roxbury, Boston","$2,900"
1586,"Chinatown - Leather District, Boston","$8,203"
1587,"Oak Square, Brighton, Boston","$2,900"
1588,"Wellington, Medford","$3,815"
1589,"Oak Grove, Malden","$1,250"
1590,"Oak Square, Brighton, Boston","$3,400"
1591,"East Somerville, Boston","$2,600"
1592,"East Somerville, Boston","$2,600"
1593,"East Somerville, Boston","$2,300"
1594,"Back Bay West, Back Bay, Boston","$2,795"
1595,"Chinatown - Leather District, Boston","$3,860"
1596,"Mission Hill, Boston","$2,205"
1597,"Mission Hill, Boston","$2,205"
1598,"Mission Hill, Boston","$2,330"
1599,"Commonwealth, Brighton, Boston","$1,525"
1600,"Commonwealth, Brighton, Boston","$1,825"
1601,"Commonwealth, Brighton, Boston","$1,750"
1602,"Coolidge Corner, Boston","$3,000"
1603,"Coolidge Corner, Boston","$3,350"
1604,"Commonwealth, Brighton, Boston","$2,275"
1605,Canton,"$3,005"
1606,"Downtown Lowell, Lowell","$1,680"
1607,"Allston, Boston","$2,625"
1608,"Allston, Boston","$2,525"
1609,"St. Elizabeth's, Brighton, Boston","$1,795"
1610,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,422"
1611,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,081"
1612,"Huron Village, West Cambridge, Cambridge","$3,000"
1613,"East Watertown, Watertown","$2,850"
1614,"Hyde Square, Jamaica Plain, Boston","$2,495"
1615,"Financial District, Downtown Boston, Boston","$4,089"
1616,"Downtown Boston, Boston","$3,225"
1617,"Downtown Boston, Boston","$3,845"
1618,"Chinatown - Leather District, Boston","$4,475"
1619,"West End, Boston","$3,325"
1620,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,150"
1621,"North End, Boston","$2,250"
1622,"Downtown Boston, Boston","$3,955"
1623,"Downtown Boston, Boston","$2,890"
1624,"North Cambridge, Cambridge","$3,000"
1625,"North Cambridge, Cambridge","$4,250"
1626,Wilmington,"$2,200"
1627,"North End, Boston","$3,675"
1628,"Harrison Lenox, South End, Boston","$4,000"
1629,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,125"
1630,"Commonwealth, Brighton, Boston","$2,495"
1631,"Marina Bay, Quincy","$2,471"
1632,"Mystic River, Somerville","$3,275"
1633,"Central Maverick Square - Paris Street, East Boston, Boston","$2,420"
1634,"Coolidge Corner, Brookline","$4,400"
1635,"Strawberry Hill, Cambridge","$1,975"
1636,"Stony Brook - Cleary Square, Hyde Park, Boston","$2,100"
1637,"Mission Hill, Boston","$3,300"
1638,"Coolidge Corner, Brookline","$5,500"
1639,"North Allston, Allston, Boston","$2,905"
1640,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600"
1641,"West End, Boston","$2,195"
1642,"Chinatown - Leather District, Boston","$8,183"
1643,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,211"
1644,"Allston, Boston","$4,100"
1645,"Mission Hill, Boston","$3,500"
1646,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,067"
1647,"Chinatown - Leather District, Boston","$3,882"
1648,"Bay Village, Boston","$3,995"
1649,"West Revere, Malden","$1,775"
1650,"Chinatown - Leather District, Boston","$4,400"
1651,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$3,060"
1652,"West End, Boston","$4,540"
1653,"Downtown Boston, Boston","$6,170"
1654,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,785"
1655,"Columbus, South End, Boston","$3,400"
1656,"Downtown Boston, Boston","$7,892"
1657,"Columbus, South End, Boston","$2,500"
1658,"Coolidge Corner, Brookline","$3,800"
1659,"Oak Square, Brighton, Boston","$1,825"
1660,"Washington Square, Brookline","$2,725"
1661,"Mission Hill, Boston","$2,150"
1662,"Commonwealth, Brighton, Boston","$1,525"
1663,"Commonwealth, Brighton, Boston","$1,475"
1664,"Commonwealth, Brighton, Boston","$1,750"
1665,"Lower Roxbury, Roxbury, Boston","$3,050"
1666,"Mid-Cambridge, Cambridge","$6,800"
1667,"Brookline Village, Brookline","$4,400"
1668,"East Somerville, Boston","$2,450"
1669,"Eagle Hill, East Boston, Boston","$2,000"
1670,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,325"
1671,"Ward Two, Somerville","$3,600"
1672,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,392"
1673,"Telegraph Hill, South Boston, Boston","$2,350"
1674,"Metropolitan Hill - Beach Street, Roslindale, Boston","$2,030"
1675,"Harrison Lenox, South End, Boston","$4,250"
1676,"Glenwood, Medford","$2,268"
1677,"Aggasiz - Harvard University, Cambridge","$2,100"
1678,"Shawmut, South End, Boston","$2,575"
1679,"Commonwealth, Brighton, Boston","$2,750"
1680,"North Allston, Allston, Boston","$3,830"
1681,"North Allston, Allston, Boston","$4,020"
1682,"North Allston, Allston, Boston","$2,895"
1683,"Proctor, Peabody","$1,365"
1684,"Prudential - St. Botolph, Back Bay, Boston","$4,280"
1685,"North End, Boston","$2,350"
1686,"Mission Hill, Boston","$3,300"
1687,"Mission Hill, Boston","$4,800"
1688,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400"
1689,"Ten Hills, Somerville","$3,300"
1690,"North End, Boston","$2,900"
1691,Norwood,"$1,600"
1692,"West Revere, Malden","$3,592"
1693,"Admirals Hill, Chelsea","$2,469"
1694,"Harbor View - Orient Heights, East Boston, Boston","$2,235"
1695,"Harbor View - Orient Heights, East Boston, Boston","$1,877"
1696,"Neighborhood Nine, Cambridge","$3,400"
1697,"East Cambridge, Cambridge","$2,790"
1698,"South Salem, Salem","$1,420"
1699,"South Salem, Salem","$1,530"
1700,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,950"
1701,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600"
1702,"Commonwealth, Brighton, Boston","$1,525"
1703,"Commonwealth, Brighton, Boston","$1,475"
1704,"Commonwealth, Brighton, Boston","$1,700"
1705,"Commonwealth, Brighton, Boston","$1,700"
1706,"Coolidge Corner, Boston","$3,400"
1707,"St. Elizabeth's, Brighton, Boston","$1,850"
1708,"Commonwealth, Brighton, Boston","$2,050"
1709,"St. Elizabeth's, Brighton, Boston","$2,700"
1710,"St. Elizabeth's, Brighton, Boston","$2,150"
1711,"Allston, Boston","$2,625"
1712,"Allston, Boston","$2,600"
1713,"Coolidge Corner, Brookline","$3,050"
1714,"Brookline Village, Brookline","$2,200"
1715,"West Cambridge, Cambridge","$15,000"
1716,"East Watertown, Watertown","$2,100"
1717,"East Somerville, Boston","$2,600"
1718,"East Somerville, Boston","$3,100"
1719,"East Somerville, Boston","$3,100"
1720,Canton,"$2,700"
1721,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,102"
1722,"Allston Village, Allston, Boston","$1,875"
1723,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$3,350"
1724,"Downtown Lowell, Lowell","$2,350"
1725,"Downtown Boston, Boston","$4,310"
1726,"Crescent Beach, Revere","$2,740"
1727,"Glenwood, Medford","$2,030"
1728,"Commonwealth, Brighton, Boston","$1,875"
1729,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,875"
1730,"Commonwealth, Brighton, Boston","$3,300"
1731,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,645"
1732,"Washington Square, Brookline","$2,685"
1733,"Lower Washington - Mount Hope, Roslindale, Boston","$3,000"
1734,"Mission Hill, Boston","$3,600"
1735,"North End, Boston","$3,400"
1736,"Beacon Hill, Boston","$4,150"
1737,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,250"
1738,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,250"
