,Neighborhood,Price
126,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,500"
127,"Mid-Cambridge, Cambridge","$7,000"
128,"Oak Square, Brighton, Boston","$2,700"
129,"Commonwealth, Brighton, Boston","$1,675"
130,"Mission Hill, Boston","$5,100"
131,"Oak Square, Brighton, Boston","$1,650"
132,"Oak Square, Brighton, Boston","$2,095"
133,"St. Elizabeth's, Brighton, Boston","$2,900"
134,"St. Elizabeth's, Brighton, Boston","$2,900"
135,"Watertown West End, Watertown","$3,000"
136,"Watertown West End, Watertown","$3,000"
137,"Newton Center, Newton","$5,200"
138,"West End, Boston","$2,590"
139,"Prudential - St. Botolph, Back Bay, Boston","$3,685"
140,"Prudential - St. Botolph, Back Bay, Boston","$4,500"
141,"Bay Village, Boston","$3,575"
142,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900"
143,"Mission Hill, Boston","$4,500"
144,"St. Elizabeth's, Brighton, Boston","$1,850"
145,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,884"
146,"Jeffries Point - Airport, East Boston, Boston","$2,400"
147,"Jeffries Point - Airport, East Boston, Boston","$2,400"
148,"Oak Square, Brighton, Boston","$2,700"
149,"Oak Square, Brighton, Boston","$2,700"
150,"Downtown Boston, Boston","$2,620"
151,"Oak Square, Brighton, Boston","$2,050"
152,"Lower Roxbury, Roxbury, Boston","$4,500"
153,"West End, Boston","$2,630"
154,"D Street - West Broadway, South Boston, Boston","$4,794"
155,"North End, Boston","$3,795"
156,"St. Elizabeth's, Brighton, Boston","$1,900"
157,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,518"
158,"Lower Roxbury, Roxbury, Boston","$1,990"
159,"Lower Roxbury, Roxbury, Boston","$3,890"
160,"Prudential - St. Botolph, Back Bay, Boston","$3,685"
161,"Prudential - St. Botolph, Back Bay, Boston","$4,500"
162,"Bay Village, Boston","$3,575"
163,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,561"
164,"North Cambridge, Cambridge","$2,500"
165,"Mission Hill, Boston","$5,800"
